,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000261494678,4.207769297676668,5.332475631208643,8.117099715164352,5.29926893124734,4.788268024838244,4.235464512542718,4.470391758980871
ZINC000261494682,0.9436705605227639,2.414370893115994,5.610663333176043,3.0808492005180583,2.4842684129508807,1.6937922598444548,1.1618022299655495
ZINC000261494691,0.9893379591715584,2.46259153076681,5.943629442347048,3.5631157243349216,2.752911761495518,1.7410120778634148,1.2864241617479486
ZINC000014969354,2.360687632310141,2.4324348154869257,5.459994856451436,3.5964571448618234,2.71555810574738,2.574743964295005,2.652189986686002
ZINC000261494712,3.1048185809249222,4.678189316453941,7.732641657558528,3.852433061197998,3.595792789485277,2.628282191636107,3.170779305649321
ZINC000261494717,0.8677886333123511,2.353822520131579,5.658184464368574,3.1422035672552027,2.463169204323035,1.593378546401413,1.1085295446881076
ZINC000022055139,2.556542156566878,3.9929546842405466,6.966637620625183,3.956441860934607,3.460247295369289,2.6488338691999473,2.7822672822919903
ZINC000004102205,4.32991520337942,5.073811120689565,7.672390574633211,5.101845077761152,4.597998481707561,4.353771215550874,4.588876157456855
ZINC000004213363,3.8435803378722535,4.4173356866636535,7.015615235468366,3.1930730411373944,2.7496793451988855,2.8569139627306432,4.054935476769496
ZINC000004215255,1.0953756214327242,2.0648823430409675,5.6627682571726545,3.5448424266873904,2.6541958918712107,1.653958775017543,1.2217958011785064
ZINC000004217548,4.652820419151678,5.3055874467825115,7.739608750382535,4.010960323505498,3.748408557168897,3.84181204914526,4.865670228309098
ZINC000004576930,2.414583083402028,3.7253348399466555,6.451865786425865,3.7133138200031515,3.275209071937314,2.619005279773943,2.6496635502407364
ZINC000004974291,3.805672499004998,5.200648686684304,7.754985923317472,4.730766566259643,4.466490873512131,3.8193540765566785,4.005717121700621
ZINC000084316941,3.93819623737035,4.7420609723672795,6.991442555570829,4.5476611057243055,4.203509483154213,4.033553133979339,4.195773103471291
ZINC000003643421,5.10964207262977,5.726940304465491,8.08396298680252,5.581420034997468,5.115226772541659,5.003251235600486,5.379427127413394
ZINC000005138341,3.881704957007142,4.523097535550513,6.698655414749725,2.5710122858265305,2.631303244440382,2.924829375171584,4.026848546461934
ZINC000003812946,3.3327213384277536,3.182816240390389,3.586560575957042,3.8143756700506493,3.874897038211024,4.038561786434407,3.293225713987213
ZINC000003830503,2.5101970721896514,4.011554454352214,7.157698510661362,4.08815444535219,3.4873129833910474,2.509005066260961,2.7434610203602188
ZINC000082004496,3.7277114848727635,4.107985650257775,6.337689726382904,2.558979655406125,2.3657500085973875,2.8371215510268435,3.9048330678316074
