,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000003798255,578.0142143449203,754.0648967997537,710.0479891561063,437.0420289611231,562.6915438483117,585.4239301520053,584.8969340806732
ZINC000003803180,385.41203223796634,561.5710578105575,518.6220657967324,245.5807011794858,370.6219715688304,392.6256624481535,393.17219680818994
ZINC000003807687,385.71630065026585,561.6647257599445,517.5798348170708,244.73334654721666,370.3260823343572,393.16369856385575,392.4704779807045
ZINC000071606217,369.46698382628773,545.4481027452024,501.422376864351,228.48081788438782,354.09427523144416,376.90644197972347,376.26529134383605
ZINC000072107957,564.1583494041002,740.2271778469118,696.2735528347703,423.19066730398055,548.8464073314924,571.5581593526282,571.0794788457429
ZINC000072319783,161.2382010927989,336.98851406638533,293.04322997517767,21.145010220283094,145.69922823056157,168.74866077179604,167.80716216995577
ZINC000117445039,305.4858636600701,481.4234248981865,437.386047348051,164.5157815667509,290.08629743454304,312.94313220883475,312.23125844730026
ZINC000118417120,34.70840482294665,210.69528313906085,168.33963088047557,107.14557417537746,21.843186203141595,41.75419080484866,44.08854891953879
ZINC000000595076,298.336520197287,474.25895987680116,430.2161307293606,157.36703705855982,282.92589851904205,305.7971818060622,305.06613512890686
ZINC000001481819,416.7522410034669,592.7438849940519,548.6974662755109,275.76730496330566,401.3887628449346,424.1867522233229,423.55989466524875
ZINC000001534528,636.9280073891647,812.9697283425841,768.9006567595328,495.9578261041528,621.6029502228106,644.3419132233537,643.7897310996067
ZINC000001549629,265.9155700542417,442.1115722188479,398.54083871825515,125.18444670980475,250.77081687879775,273.28637771108185,273.1305962966977
ZINC000001704225,617.6660109449182,793.6811147251652,749.5807794208009,476.6865048083236,602.3223852708852,625.0870462861263,624.4952668575992
ZINC000146905479,10.02314616249178,179.19424982569055,135.48432359094244,138.09298461694334,13.785194815857649,15.782991958415824,10.290590264763088
ZINC000003777432,517.2319801397517,693.3233360685969,649.4205594293867,376.2764293176706,501.93858787729715,524.6268253457055,524.1898296676466
ZINC000003791917,569.8788626926564,745.9930788688542,702.0668737121947,428.94812105516434,554.6117519725957,577.2721270496068,576.8539272749204
ZINC000003802462,363.3750761548785,539.1096473822172,494.7754208315239,222.51399921080076,347.9006732659941,370.8731294357039,369.89432296313856
ZINC000003810825,395.1299282426782,571.2399166183542,527.3924239853075,254.1933826478046,379.8574561161265,402.52956032199637,402.11713055501826
ZINC000100052151,31.01284271096454,205.04648335576397,161.21442120208377,112.2904683489497,14.985394726135715,38.67568081666685,35.87927582323274
ZINC000059245654,602.9009726671301,779.0933406160416,735.3768264035936,462.0710782793242,587.724286514056,610.252812511794,610.052350874168
ZINC000212677395,202.63964454856537,27.79795949406926,70.2360502075578,343.1658602709056,217.5850182840694,195.4895237511005,195.16022210601935
ZINC000113476229,56.79796535141366,229.04783816782475,184.35857626439196,90.45827402406238,41.026635508203114,64.49186072371198,60.52956525623186
ZINC000001550786,297.760639233003,473.87887348911164,430.09670060895894,156.84486943278225,282.50301888649506,305.1679054866015,304.7760465880329
ZINC000242522171,487.42790349895563,663.4104842907279,619.3052504668194,346.4484161795696,472.063862406047,494.8629603139932,494.21620217147773
ZINC000001895592,488.4184341348884,664.4373385631329,620.3887306870968,347.4397862287609,473.0752968207547,495.8429311047599,495.25624382879596
ZINC000003784715,364.412146726495,540.5646135705343,496.84572074877264,223.5212469994157,349.1837041936592,371.79188600700746,371.4978892395564
ZINC000003813639,371.57884851904436,547.7359574557445,504.0175467915303,230.69574552488757,356.35657023424994,378.9570995797332,378.6705392088695
ZINC000103267239,69.86728529469242,244.47204303958048,200.20676012283502,73.84941816653514,54.15592429536955,77.5758106682206,75.35229168352593
ZINC000064540331,381.555888506746,557.5716120127341,513.5829762853518,240.57436481780732,366.20689568288117,388.98572984423555,388.39852573655446
ZINC000068245097,192.04360819935349,368.18873548971345,324.61230901163407,51.206909875184984,176.81912354734374,199.44723263821655,199.1718706038465
ZINC000114022496,24.08054189860546,200.21845436843338,157.2925552122119,117.09123046573562,10.858699357058564,31.583248289179107,32.511851575527594
ZINC000095627834,456.27257820498863,280.216068612733,323.4210187808217,596.7837123214136,471.2314023162344,449.07706173395405,448.77323959497505
ZINC000000000510,658.7352767879455,834.8061685076203,790.8177863248713,517.7712055682518,643.4266341534818,666.1338428647822,665.6507439780751
ZINC000000001754,476.1355486848338,652.1628719927754,608.1312360848675,335.15855951479546,460.798043063956,483.55847220587657,482.9857621799233
ZINC000000005076,417.8670551546134,593.9503456112542,550.009084599594,276.92665489270337,402.57923688705614,425.2803448034049,424.7976408862547
